consumer,mineral,year,hhi_import,hhi_wgi_import,hhi_import_wt,hhi_wgi_import_wt,n_partners,top_partner,top_partner_share,total_imports_M
Japan,Gallium,2015,0.15620595590409894,0.06153297835680738,0.1514031468726708,0.06284306877816109,16,KOR,0.2658352594918254,36.82902625
Japan,Gallium,2016,0.1718729159902362,0.07919096256310947,0.15014720802363507,0.07203517512199775,13,CHN,0.3061476186141981,20.62494975
Japan,Gallium,2017,0.2150731527041425,0.09204966958968121,0.15224354360021405,0.06976035026482068,16,KOR,0.3274989833981673,29.088783506749998
Japan,Gallium,2018,0.26714663373387465,0.10534411329342283,0.17729167559808867,0.07255228907999127,15,KOR,0.4055730165458409,52.84835965
Japan,Gallium,2019,0.20916330702243902,0.08240521402695304,0.14648766729423618,0.06154999514268348,12,KOR,0.3436411492647514,29.690026686499998
Japan,Gallium,2020,0.20203096775482016,0.08282628878216415,0.15063115099242672,0.06110465284854425,13,KOR,0.31420276057543584,19.5299958115
Japan,Gallium,2021,0.1873373057868399,0.09487066842370968,0.21058412375157595,0.11323859649659981,14,CHN,0.37549341481856247,23.086741259999997
Japan,Gallium,2022,0.22390465356704203,0.11510101963573326,0.1645365479992793,0.08272762706838087,12,CHN,0.42565142411268025,27.826017955750004
Japan,Gallium,2023,0.14312025284009,0.06671989459761656,0.2522415260533608,0.1306942767055577,12,USA,0.21499523922679148,24.51419047675
Japan,Germanium,2015,0.15620595590409894,0.06153297835680738,0.1514031468726708,0.06284306877816109,16,KOR,0.2658352594918254,36.82902625
Japan,Germanium,2016,0.1718729159902362,0.07919096256310947,0.15014720802363507,0.07203517512199775,13,CHN,0.3061476186141981,20.62494975
Japan,Germanium,2017,0.2150731527041425,0.09204966958968121,0.15224354360021405,0.06976035026482068,16,KOR,0.3274989833981673,29.088783506749998
Japan,Germanium,2018,0.26714663373387465,0.10534411329342283,0.17729167559808867,0.07255228907999127,15,KOR,0.4055730165458409,52.84835965
Japan,Germanium,2019,0.20916330702243902,0.08240521402695304,0.14648766729423618,0.06154999514268348,12,KOR,0.3436411492647514,29.690026686499998
Japan,Germanium,2020,0.20203096775482016,0.08282628878216415,0.15063115099242672,0.06110465284854425,13,KOR,0.31420276057543584,19.5299958115
Japan,Germanium,2021,0.1873373057868399,0.09487066842370968,0.21058412375157595,0.11323859649659981,14,CHN,0.37549341481856247,23.086741259999997
Japan,Germanium,2022,0.22390465356704203,0.11510101963573326,0.1645365479992793,0.08272762706838087,12,CHN,0.42565142411268025,27.826017955750004
Japan,Germanium,2023,0.14312025284009,0.06671989459761656,0.2522415260533608,0.1306942767055577,12,USA,0.21499523922679148,24.51419047675
Japan,Graphite,2015,0.4316976922473833,0.2536741148969931,0.8231955934284835,0.487630223281972,20,CHN,0.6509048789700776,241.592033
Japan,Graphite,2016,0.42209102507745844,0.24573372826834491,0.8138403894204668,0.47578369036649953,18,CHN,0.6465674614253228,226.340326
Japan,Graphite,2017,0.37851504174948536,0.2065353425215153,0.8053436762745919,0.4459770447769106,19,CHN,0.6044039270484163,287.343885375
Japan,Graphite,2018,0.4491925242099576,0.2480234662156515,0.8184549134887373,0.4553889796674651,18,CHN,0.6640993566525221,339.843779102
Japan,Graphite,2019,0.3815818714299338,0.2069594363789359,0.7996760744741785,0.43979451560841903,18,CHN,0.6072307147122111,326.68108244
Japan,Graphite,2020,0.5199046761672408,0.28954046336053163,0.8749468869517713,0.48870193867972017,17,CHN,0.7181320155914194,172.794168558
Japan,Graphite,2021,0.5628469213217544,0.311851247336301,0.8766039980048932,0.48635617743604975,17,CHN,0.7489589740216931,229.27000091600001
Japan,Graphite,2022,0.5776093326022328,0.3231201581251443,0.8252786815250934,0.46238097633415026,18,CHN,0.7584187571052532,237.642857608
Japan,Graphite,2023,0.5726986645492649,0.31638229081811137,0.8440845769401061,0.4675317034476139,19,CHN,0.7541743277655936,232.703064253
Japan,Lithium,2015,0.30789294719456356,0.10122090503333081,0.32230909043478245,0.10535811050807853,5,USA,0.3959362943677052,142.526613
Japan,Lithium,2016,0.2923243163852348,0.10757149722120718,0.35959413493012565,0.11884577604240755,8,CHL,0.4002358986661736,221.013543
Japan,Lithium,2017,0.31370808243316944,0.1383402520908289,0.31611148986522863,0.1308394361033934,7,CHN,0.4044211762117825,413.61490644199995
Japan,Lithium,2018,0.3321805081279532,0.14709049857480427,0.329520804369073,0.14793920049315396,8,CHN,0.4128090675479065,596.5953402790001
Japan,Lithium,2019,0.38373128982763904,0.18944630401416418,0.37305334288808345,0.1847425878161403,8,CHN,0.520379035657783,798.057385865
Japan,Lithium,2020,0.4141211886068763,0.2157078681274834,0.4089001888177077,0.21306085224887064,7,CHN,0.5715970212037835,583.642245151
Japan,Lithium,2021,0.4095147904594431,0.21233447347566775,0.389980789066632,0.19965346982397675,9,CHN,0.5689846429329289,595.4520950980001
Japan,Lithium,2022,0.4354864859944667,0.2330162270200189,0.4175546312792013,0.2234211198440433,7,CHN,0.6022136383752186,2240.885903828
Japan,Lithium,2023,0.3943186091295474,0.2051359006368387,0.44217906650412225,0.23636727654474707,9,CHN,0.5514532296460473,2389.777253097
Japan,Manganese,2015,0.3534760979704274,0.18029092842756617,0.49567392637144064,0.23345982058191064,13,ZAF,0.4829200103473615,332.591068
Japan,Manganese,2016,0.33329844085255156,0.17641971882036028,0.4439638628892842,0.2169493516789212,14,ZAF,0.4058464488414787,293.704785
Japan,Manganese,2017,0.30741249695037665,0.15684016348528435,0.39899578679326386,0.19554532950406472,12,ZAF,0.4241792884186817,491.8479054499999
Japan,Manganese,2018,0.3302364818533851,0.16981741910689235,0.43769671998633086,0.21777677960097294,12,ZAF,0.4703342158020053,545.3264665119999
Japan,Manganese,2019,0.37258223709566374,0.1892953927567043,0.49586757969836687,0.2439289423768726,13,ZAF,0.5269855966342724,484.406363482
Japan,Manganese,2020,0.365286763679651,0.18530912830884316,0.4558585031702595,0.21724627848623626,12,ZAF,0.5152676769840802,280.134634297
Japan,Manganese,2021,0.3721410098245356,0.2013731632564006,0.4499548799703634,0.2271617898312251,14,CHN,0.49341777128790676,450.352386579
Japan,Manganese,2022,0.3216613739751679,0.1753249159738557,0.4170851185368611,0.21660171957096322,13,ZAF,0.41676147780682754,513.234851243
Japan,Manganese,2023,0.34710034119225475,0.18698217314909865,0.48606968521328725,0.2542456858006352,14,ZAF,0.5178658455491789,376.786358668
Japan,Molybdenum,2015,0.27858864629681784,0.0897029109229115,0.34320429119266865,0.10841163355565167,15,CHL,0.4981662945205281,487.606385
Japan,Molybdenum,2016,0.3508171072239455,0.11579304149528238,0.4590690199358054,0.14487835365007828,13,CHL,0.5610047022088726,391.438375
Japan,Molybdenum,2017,0.38809491677581814,0.1253618785701113,0.4771614499764428,0.15144295386357445,13,CHL,0.5978097891212358,500.529506738
Japan,Molybdenum,2018,0.3648971796025547,0.11742853792079795,0.4285841162809534,0.13627625626721243,14,CHL,0.5778602501898183,743.495783951
Japan,Molybdenum,2019,0.3458784443189678,0.12542282296656226,0.39840598427873286,0.14303580313760153,15,CHL,0.5544623487214665,743.890575748
Japan,Molybdenum,2020,0.3960950969390902,0.1526152185490041,0.4652223273278689,0.17808266299559294,14,CHL,0.6031732740484483,484.129710307
Japan,Molybdenum,2021,0.40725307768683594,0.15564623483783793,0.4712015612528788,0.17943975905219423,14,CHL,0.611416314159121,845.6978608710001
Japan,Molybdenum,2022,0.410853784004299,0.16339689324098292,0.4607753592848741,0.18244643502352906,14,CHL,0.6153521345850678,993.3337750329999
Japan,Molybdenum,2023,0.427642073374519,0.16917106023206224,0.4768312405984012,0.18773635564411784,13,CHL,0.6302073091146303,1191.922958287
Japan,Nickel,2015,0.18664008861773906,0.10336398016129493,0.4904500703592644,0.27477849255988884,27,PHL,0.294556925976087,2522.60523
Japan,Nickel,2016,0.18536666535120788,0.10339115230966735,0.4520796941877799,0.2558238429588808,29,IDN,0.3125042821897934,1854.906691
Japan,Nickel,2017,0.1914656132363426,0.10790103058377279,0.4693442011208659,0.27056776395415477,26,PHL,0.30279929529772726,2179.1326524759997
Japan,Nickel,2018,0.1631389418047243,0.08640545191103942,0.44030076727406925,0.20105228750586177,26,IDN,0.265774236139929,3032.833335454
Japan,Nickel,2019,0.16075853694395423,0.08512205488519037,0.4484181282279452,0.1905914492540178,28,IDN,0.2671409690474099,2912.876717524
Japan,Nickel,2020,0.18405640497242437,0.09645280819161726,0.5269417193407564,0.17608822581159864,25,IDN,0.31545869193867065,2507.811424796
Japan,Nickel,2021,0.1743836409985386,0.09085488307594732,0.4546390938226589,0.19654639352596434,24,IDN,0.2827043283868815,3346.803299786
Japan,Nickel,2022,0.15568494124578663,0.0803065600706872,0.43984369120786293,0.17353466516399987,24,IDN,0.26366459403753295,4593.03491312
Japan,Nickel,2023,0.1696581624940806,0.08385293561776214,0.40256002373956284,0.13764593326248833,25,IDN,0.31821417903264554,4228.184715955
Japan,Niobium,2015,0.14435313615880732,0.0570694864363278,0.132807638153945,0.05724121934934384,17,KOR,0.25369903221997464,38.59082025
Japan,Niobium,2016,0.15286029796612613,0.0726187064311905,0.26862803590820783,0.1338316371552504,14,CHN,0.23581767108604146,26.99395775
Japan,Niobium,2017,0.1837369984253831,0.07918415768865342,0.1449088608409022,0.06831461655036887,17,KOR,0.2955150130935155,32.23709999375
Japan,Niobium,2018,0.2671015903513278,0.10532522459074324,0.17729167559808867,0.07255228907999127,15,KOR,0.4055294017288528,52.854043508000004
Japan,Niobium,2019,0.1944442876551693,0.08949219840438474,0.9479938618661257,0.49259276664419716,14,ZAF,0.31985823287394105,44.809352750500004
Japan,Niobium,2020,0.1622254432995639,0.0720934113658529,0.9288035564382014,0.4780341816297953,15,KOR,0.2301913638673408,26.6577272705
Japan,Niobium,2021,0.131048002382788,0.06558107092171403,0.6222385460691817,0.3255188596252651,17,CHN,0.22367567032134314,38.772168141
Japan,Niobium,2022,0.16036948589982747,0.0811726531719171,0.5808789667698135,0.29575241125050433,15,ZAF,0.2845921508451793,54.967488233750004
Japan,Niobium,2023,0.17064172150047086,0.057025420123294035,0.5052912052282209,0.1558928294979457,14,AUS,0.3180424332576321,49.293537998750004
