consumer,mineral,year,partner_iso,trade_value,net_weight,total_imports,total_imports_wt,import_share,import_share_wt
China,Aluminium,2019,GUY,39043.0,131263.0,10589835941.0,104302162746.888,3.6868370971489446e-06,1.2584878064181504e-06
China,Aluminium,2019,IDN,782316656.0,14535495580.0,10589835941.0,104302162746.888,0.07387429421556513,0.1393594839952989
China,Aluminium,2019,IRN,40702.0,312152.0,10589835941.0,104302162746.888,3.8434967478973525e-06,2.9927663221855243e-06
China,Aluminium,2019,JAM,24603137.0,413025180.0,10589835941.0,104302162746.888,0.0023232783904371538,0.0039598908509912295
China,Aluminium,2019,JPN,958601383.0,221632568.759,10589835941.0,104302162746.888,0.09052089081839725,0.002124908658862999
China,Aluminium,2019,KAZ,62344506.0,156469695.0,10589835941.0,104302162746.888,0.005887202251984349,0.0015001577232842997
China,Aluminium,2019,KOR,704729630.0,139732295.636,10589835941.0,104302162746.888,0.06654773822052736,0.0013396874231178788
China,Aluminium,2019,MAR,88103.0,30195.767,10589835941.0,104302162746.888,8.31958119944967e-06,2.8950278886619664e-07
China,Aluminium,2019,MDG,629.0,620.0,10589835941.0,104302162746.888,5.939657644409205e-08,5.944267919971761e-09
China,Aluminium,2019,MEX,17725011.0,12084418.533,10589835941.0,104302162746.888,0.0016737757882891455,0.00011585971196326469
China,Aluminium,2019,MMR,1853519.0,1641886.0,10589835941.0,104302162746.888,0.00017502811283637052,1.574162948072702e-05
China,Aluminium,2019,MNG,7064638.0,5009231.0,10589835941.0,104302162746.888,0.0006671149618709659,4.802614699520655e-05
China,Aluminium,2019,MYS,330295509.0,948525904.93,10589835941.0,104302162746.888,0.031189860809950388,0.009094019528931584
China,Aluminium,2019,NGA,2199606.0,1605551.0,10589835941.0,104302162746.888,0.00020770916681380532,1.5393266618029967e-05
China,Aluminium,2019,NLD,48747808.0,26835034.229000002,10589835941.0,104302162746.888,0.004603263758909256,0.0002572816662883691
China,Aluminium,2019,NOR,12821675.0,8552454.0,10589835941.0,104302162746.888,0.0012107529400298951,8.199689991811962e-05
China,Aluminium,2019,PAK,30749.0,4185.0,10589835941.0,104302162746.888,2.9036332735761314e-06,4.012380845980939e-08
China,Aluminium,2019,PER,146053.0,120411.0,10589835941.0,104302162746.888,1.3791809506182793e-05,1.154443942760838e-06
China,Aluminium,2019,PHL,6964367.0,4839571.998,10589835941.0,104302162746.888,0.0006576463543723562,4.639953640984683e-05
China,Aluminium,2019,POL,679.0,200.0,10589835941.0,104302162746.888,6.411808490546662e-08,1.917505780636052e-09
China,Aluminium,2019,RUS,87835464.0,36854069.529,10589835941.0,104302162746.888,0.008294317729695223,0.00035333945680910236
China,Aluminium,2019,SAU,678.0,681.0,10589835941.0,104302162746.888,6.402365473623913e-08,6.529107183065756e-09
China,Aluminium,2019,SVK,5044.0,38.0,10589835941.0,104302162746.888,4.7630577358346634e-07,3.6432609832084985e-10
China,Aluminium,2019,SWE,18775508.0,12032216.288,10589835941.0,104302162746.888,0.0017729743977721174,0.0001153592214305163
China,Aluminium,2019,THA,29119270.0,14700669.0,10589835941.0,104302162746.888,0.0027497375938810116,0.00014094308893358604
China,Aluminium,2019,TUR,22534836.0,319313623.907,10589835941.0,104302162746.888,0.002127968376993764,0.0030614285983875935
China,Aluminium,2019,USA,774186180.0,422726628.193,10589835941.0,104302162746.888,0.07310653199098507,0.004052903765944323
China,Aluminium,2019,VNM,99408794.0,320649746.0,10589835941.0,104302162746.888,0.009387189240120827,0.0030742387075724086
China,Aluminium,2019,ZAF,12979551.0,6257725.0,10589835941.0,104302162746.888,0.0012256611974268544,5.999611930565369e-05
