mineral,year,rp_ratio,rp_log,byproduct_frac,hhi_mining,hhi_processing,hhi_bottleneck,import_reliance,hhi_wgi,export_restriction_score,enduse_hhi,risk_weighted,n_substitutes,avg_performance_penalty,eu_substitution_index_ei,eu_substitution_index_sr,eol_rir,rp_log_norm,byproduct_frac_norm,hhi_bottleneck_norm,hhi_mining_norm,hhi_processing_norm,import_reliance_norm,hhi_wgi_norm,export_restriction_score_norm,risk_weighted_norm,enduse_hhi_norm,eu_substitution_index_sr_norm,avg_performance_penalty_norm,eol_rir_norm,D1,D2,D3,D4,CMVI,CMVI_rank
Manganese,2017,45.95599439263729,3.849210873598884,0.0,0.17898471645913847,,0.17898471645913847,1.0,0.08549415738074041,0.3232035106966539,0.6330354789670318,0.03752711397980537,0,0.0,1.0,1.0,0.09,0.617539343986856,0.0,0.0,0.07814723827375189,,1.0,0.015815530120843496,0.44042940835965494,0.12086705752400596,0.3549463326588806,1.0,0.0,0.8363636363636364,0.4724774216514541,0.25,0.16398961064181133,0.4637365831647201,0.3078592380825657,18
Manganese,2018,43.891891891891895,3.8042571969690706,0.0,0.168971465303141,,0.168971465303141,1.0,0.07918802666839996,0.29850810810810813,0.6330354789670318,0.032114456885585584,0,0.0,1.0,1.0,0.09,0.5633285981163081,0.0,0.0,0.004327081418966632,,1.0,0.0,0.3773688220676661,0.10026297090425614,0.3549463326588806,1.0,0.0,0.8363636363636364,0.45139546492401883,0.25,0.13444739387861898,0.4637365831647201,0.2896211252612617,20
Manganese,2019,70.67437788507455,4.27213333206765,0.0,0.16491377625641668,,0.16491377625641668,1.0,0.07961545972660813,0.3085477794874516,0.6330354789670318,0.03204128500203392,0,0.0,1.0,1.0,0.09,0.4456411643483511,0.0,0.0,8.816286802311618e-05,,1.0,0.003519701514358192,0.3902521364937988,0.12492725718210569,0.3549463326588806,1.0,0.0,0.8363636363636364,0.4056281295698133,0.25,0.14876583252631737,0.4637365831647201,0.28920823637524284,20
Manganese,2020,82.49930881946365,4.424838354211336,0.0,0.2072119668976309,,0.2072119668976309,1.0,0.10113713823694619,0.33779375172795134,0.6330354789670318,0.041487709369643355,0,0.0,1.0,1.0,0.09,0.39971527121109895,0.0,0.0,0.06565216053286012,,1.0,0.04425277184511611,0.4193140623395383,0.14030075353763552,0.3549463326588806,1.0,0.0,0.8363636363636364,0.3877680600164375,0.25,0.17643728714572943,0.4637365831647201,0.2984306624658428,19
Manganese,2021,82.49930881946365,4.424838354211336,0.0,0.2072119668976309,,0.2072119668976309,1.0,0.10466162118746855,0.33779375172795134,0.6330354789670318,0.029106713485393048,0,0.0,1.0,1.0,0.09,0.39971527121109895,0.0,0.0,0.06565216053286012,,1.0,0.048869689557203395,0.5762057698490884,0.09964047404909779,0.3549463326588806,1.0,0.0,0.8363636363636364,0.3877680600164375,0.25,0.20101202342693242,0.4637365831647201,0.3083197597610926,19
Manganese,2022,83031.88825198954,11.326992052294687,0.0,0.25998469776980415,,0.25998469776980415,1.0,0.13934888517660687,0.3819355556792253,0.6330354789670318,0.021316103117405904,0,0.0,1.0,1.0,0.09,0.0,0.0,0.09309572345351211,0.09309572345351211,,1.0,0.12186209294064794,0.6280483242304766,0.07771949470280419,0.3549463326588806,1.0,0.0,0.8363636363636364,0.23232323232323235,0.3198217925901341,0.2307516114679676,0.4637365831647201,0.29860989772082414,18
Manganese,2023,95.60910456897992,4.570672986973681,0.0,0.25998469776980415,,0.25998469776980415,1.0,0.13910828901999783,0.3819355556792253,0.6330354789670318,0.020325817825143304,0,0.0,1.0,1.0,0.09,0.2130351097112705,0.0,0.09309572345351211,0.09309572345351211,,1.0,0.12468705400682047,0.4609786417390108,0.08926818316326224,0.3549463326588806,1.0,0.0,0.8363636363636364,0.31517021943317086,0.3198217925901341,0.19459240260244476,0.4637365831647201,0.30882511820755393,18
Graphite,2015,193.36540404040403,5.269739913433965,0.0,0.45872019861918856,0.9511673891794702,0.9511673891794702,1.0,0.5633353008762338,0.4392255892255892,0.7269338377008706,0.07603953020482604,1,0.02,0.97,0.98,0.03,0.29718181427809465,0.0,0.9733681954630314,0.3913712082543751,1.0,1.0,0.9754402415502303,0.5909146037132385,0.5221439468689447,0.5200017458854175,0.9310344827586207,0.06896551724137932,0.9454545454545454,0.378196968178855,0.9800261465972736,0.6979903142184681,0.5050004364713543,0.6012072564527254,3
Graphite,2016,198.54751525719269,5.296052379686789,0.0,0.48766844860441055,0.9511673891794702,0.9511673891794702,1.0,0.5559363457807412,0.44908456843940714,0.7269338377008706,0.08787137771789384,1,0.02,0.97,0.98,0.03,0.30929618373372814,0.0,0.9735390495851156,0.44128900367591173,1.0,1.0,0.975030066080952,0.6335300161913064,0.5356850106761333,0.5200017458854175,0.9310344827586207,0.06896551724137932,0.9454545454545454,0.3829081118560458,0.9801542871888367,0.7139170314466131,0.5050004364713543,0.6065018455703338,3
Graphite,2017,326.99287538647667,5.792991886765538,0.0,0.5056142063709784,0.9511673891794702,0.9511673891794702,1.0,0.5267258679732459,0.43255365864587536,0.7269338377008706,0.09314710328859913,1,0.02,0.97,0.98,0.03,0.20286016871350354,0.0,0.9740418179220633,0.4579643301653994,1.0,1.0,0.9748052763284941,0.5894408496695187,0.5460555606047162,0.5200017458854175,0.9310344827586207,0.06896551724137932,0.9454545454545454,0.34151632823706957,0.9805313634415476,0.7069642833742391,0.5050004364713543,0.5880179006837619,4
Graphite,2018,268.88878959832,5.598009983771641,0.0,0.4046796121582612,0.9511673891794702,0.9511673891794702,1.0,0.5291642487399362,0.010097850855636477,0.7269338377008706,0.08430317329133344,1,0.02,0.97,0.98,0.03,0.19154771218879896,0.0,0.9743656022166396,0.29667343657627093,1.0,1.0,0.9747796181270559,0.012765529576256783,0.551590567105932,0.5200017458854175,0.9310344827586207,0.06896551724137932,0.9454545454545454,0.33711703958857336,0.9807742016624796,0.5650004755809066,0.5050004364713543,0.5542077265378962,4
Graphite,2019,294.32350134072624,5.6880713702114525,0.0,0.4262975163040707,0.9511673891794702,0.9511673891794702,1.0,0.5230835348349138,0.009544153070035904,0.7269338377008706,0.08636159166704542,1,0.02,0.97,0.98,0.03,0.13000278317942748,0.0,0.974494521721775,0.3240225295584991,1.0,1.0,0.9747934916871479,0.01207147279683093,0.5733901071552748,0.5200017458854175,0.9310344827586207,0.06896551724137932,0.9454545454545454,0.31318290052937336,0.9808708912913312,0.5735516331518195,0.5050004364713543,0.5461583032933329,4
